bin_start	bin_end	peptides_in_bin
1	           0	   842000000	    46767018
2	   842000001	   901000000	    46403439
3	   901000001	   943000000	    45717752
4	   943000001	   978000000	    46220452
5	   978000001	  1011000000	    46465568
6	  1011000001	  1041000000	    46122016
7	  1041000001	  1070000000	    46640705
8	  1070000001	  1098000000	    46113810
9	  1098000001	  1126000000	    47027081
10	  1126000001	  1153000000	    45948563
11	  1153000001	  1179000000	    45065226
12	  1179000001	  1206000000	    46751399
13	  1206000001	  1233000000	    46798422
14	  1233000001	  1260000000	    46717262
15	  1260000001	  1286000000	    44772176
16	  1286000001	  1313000000	    46484886
17	  1313000001	  1340000000	    46531331
18	  1340000001	  1367000000	    46566933
19	  1367000001	  1394000000	    46520095
20	  1394000001	  1421000000	    46332609
21	  1421000001	  1448000000	    46066546
22	  1448000001	  1475000000	    45785130
23	  1475000001	  1502000000	    45538585
24	  1502000001	  1530000000	    47051251
25	  1530000001	  1558000000	    46858799
26	  1558000001	  1585000000	    44967814
27	  1585000001	  1613000000	    46485291
28	  1613000001	  1641000000	    46256022
29	  1641000001	  1669000000	    46007133
30	  1669000001	  1698000000	    47394715
31	  1698000001	  1726000000	    45384046
32	  1726000001	  1755000000	    46748218
33	  1755000001	  1784000000	    46396919
34	  1784000001	  1813000000	    46078851
35	  1813000001	  1842000000	    45775792
36	  1842000001	  1871000000	    45413691
37	  1871000001	  1901000000	    46631104
38	  1901000001	  1931000000	    46236034
39	  1931000001	  1961000000	    45847786
40	  1961000001	  1992000000	    46969069
41	  1992000001	  2023000000	    46613671
42	  2023000001	  2054000000	    46278160
43	  2054000001	  2085000000	    45939958
44	  2085000001	  2116000000	    45564407
45	  2116000001	  2148000000	    46575849
46	  2148000001	  2180000000	    46140730
47	  2180000001	  2212000000	    45768082
48	  2212000001	  2245000000	    46760337
49	  2245000001	  2278000000	    46240978
50	  2278000001	  2311000000	    45779739
51	  2311000001	  2345000000	    46670099
52	  2345000001	  2379000000	    46098579
53	  2379000001	  2414000000	    46937541
54	  2414000001	  2448000000	    45066869
55	  2448000001	  2484000000	    47157014
56	  2484000001	  2519000000	    45269969
57	  2519000001	  2556000000	    47218183
58	  2556000001	  2592000000	    45320450
59	  2592000001	  2630000000	    47186090
60	  2630000001	  2667000000	    45301103
61	  2667000001	  2706000000	    47082357
62	  2706000001	  2744000000	    45198089
63	  2744000001	  2784000000	    46857267
64	  2784000001	  2824000000	    46112937
65	  2824000001	  2865000000	    46509391
66	  2865000001	  2906000000	    45725881
67	  2906000001	  2948000000	    46021568
68	  2948000001	  2991000000	    46278225
69	  2991000001	  3035000000	    46494524
70	  3035000001	  3080000000	    46604567
71	  3080000001	  3125000000	    45676679
72	  3125000001	  3172000000	    46706241
73	  3172000001	  3219000000	    45711859
74	  3219000001	  3268000000	    46572853
75	  3268000001	  3318000000	    46376284
76	  3318000001	  3369000000	    46079474
77	  3369000001	  3421000000	    45724257
78	  3421000001	  3475000000	    46195519
79	  3475000001	  3531000000	    46583964
80	  3531000001	  3588000000	    46069388
81	  3588000001	  3647000000	    46280390
82	  3647000001	  3708000000	    46373058
83	  3708000001	  3771000000	    46338666
84	  3771000001	  3836000000	    46147460
85	  3836000001	  3903000000	    45815987
86	  3903000001	  3974000000	    46643807
87	  3974000001	  4047000000	    46028620
88	  4047000001	  4123000000	    45926567
89	  4123000001	  4203000000	    46271073
90	  4203000001	  4287000000	    46419474
91	  4287000001	  4375000000	    46333252
92	  4375000001	  4467000000	    46013895
93	  4467000001	  4565000000	    46328129
94	  4565000001	  4669000000	    46268597
95	  4669000001	  4780000000	    46247433
96	  4780000001	  4899000000	    46070128
97	  4899000001	  5029000000	    46019832
98	  5029000001	  5178000000	    46307326
99	  5178000001	  5369000000	    46263675
100	  5369000001	999999999999	    46089637
